PropertyName,PropertySubName,NearbyLocations,LocationAdvantages,Link,PriceDetails,TopFacilities
Signature Global City 79B,"2, 3 BHK Independent Floor in Sector 79, Gurgaon","['Naurangpur Cricket Stadium', 'Naurangpur Road', 'National Highway  48', 'Vatika Town Square-INXT', 'Ompee International School']","{'Naurangpur Cricket Stadium': '850 Meter', 'Naurangpur Road': '1.4 KM', 'National Highway  48': '5.7 KM', 'Vatika Town Square-INXT': '6.4 KM', 'Ompee International School': '7.9 KM', 'Manesar Bus Stand': '8.1 KM', 'Yashlok Medical Centre': '8.3 KM', 'Euro International School': '9 KM', 'Sushant University': '19.7 KM', 'Indira Gandhi Intl Airport': '32.1 KM'}",https://www.99acres.com/signature-global-city-79b-sector-79-gurgaon-npxid-r404401,"{'2 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '1,055 sq.ft.', 'price-range': '₹ 1.05 - 1.5 Cr'}, '3 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '1,325 - 1,525 sq.ft.', 'price-range': '₹ 1.35 - 1.84 Cr'}}","['Swimming Pool', 'Reflexology Park', 'Gazebo', 'Banquet Hall', 'Cricket Pitch', 'Sun Deck', 'Multipurpose Court', 'Amphitheatre', 'Toddler Pool']"
DLF The Arbour,4 BHK Apartment in Sector 63 Gurgaon,"['WorldMark Gurgaon', 'Capital Cyberscape', 'The Shriram Millennium School', 'DoubleTree by Hilton Hotel', 'Sector 55-56 Metro Station']","{'WorldMark Gurgaon': '1.5 KM', 'Capital Cyberscape': '3.1 KM', 'The Shriram Millennium School': '3 KM', 'DoubleTree by Hilton Hotel': '5.2 KM', 'Sector 55-56 Metro Station': '5.3 KM', 'Park Hospital': '5.8 KM', 'Sushant University': '6.9 KM', 'De Adventure Park': '5.9 KM', 'Badshahpur Sohna Hwy': '8.7 KM', 'Tau DeviLal Sports Complex': '9.6 KM', 'Gurgaon Railway Station': '15.6 KM', 'IGI Airport': '22.7 KM'}",https://www.99acres.com/dlf-the-arbour-sector-63-gurgaon-npxid-r404070,"{'4 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '3,950 sq.ft.', 'price-range': '₹ 7 - 7.31 Cr'}}","['Swimming Pool', 'Community Hall', 'Yoga/Meditation Area', '24x7 Security', 'Club House', 'Gated Community', 'Gymnasium', 'Landscape Garden', ""Children's Play Area""]"
M3M Antalya Hills,"2, 3 BHK Apartment in Sector 79 Gurgaon","['Nakhrola Stadium', 'Delhi - Jaipur Expressway', 'Miracles Apollo Cradle Hospital', 'Vatika Town Square-INXT Mall', 'Savoy Suites']","{'Nakhrola Stadium': '6 Km', 'Delhi - Jaipur Expressway': '4.4 Km', 'Miracles Apollo Cradle Hospital': '5.7 Km', 'Vatika Town Square-INXT Mall': '5.8 Km', 'Savoy Suites': '6.4 Km', 'Bal Bharati Public School': '6.8 Km', 'Vatika Business Centre': '12.9 Km', 'Gurugram University': '16.1 Km', 'Golden Greens Golf & Resorts Limited': '11.6 Km', 'Garhi Harsaru Junction': '12 Km', 'De Adventure Park': '11.3 Km', 'Indira Gandhi Int. Airport': '31.4 Km'}",https://www.99acres.com/m3m-antalya-hills-sector-79-gurgaon-npxid-r402610,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,193 - 1,200 sq.ft.', 'price-range': '₹ 1.3 - 1.31 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,534 sq.ft.', 'price-range': '₹ 1.67 Cr'}}","['Mini Theatre', 'Swimming Pool', 'Lounge', 'Reflexology Park', 'Restaurant', 'Terrace Garden', 'Sauna', 'Spa', 'Gazebo']"
Signature Global City 81,"2, 3 BHK Independent Floor in Sector 81, Gurgaon","[""St. Xavier's High School"", 'Miracles Apollo Cradle', 'Ambience Mall New', 'Nakhrola Stadium', 'Dwarka Expressway']","{""St. Xavier's High School"": '0.9 Km', 'Miracles Apollo Cradle': '1.6 Km', 'Ambience Mall New': '2.3 Km', 'Nakhrola Stadium': '2.3 Km', 'Dwarka Expressway': '4.3 Km', 'NH8': '4.5 Km', 'Hyatt Regency Gurgaon': '5.6 Km'}",https://www.99acres.com/signature-global-city-81-sector-81-gurgaon-npxid-r380265,"{'2 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '546.12 sq.ft.', 'price-range': '₹ 80.01 - 83 L'}, '3 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '653.17 sq.ft.', 'price-range': '₹ 99.26 L - 1.15 Cr'}}","['Swimming Pool', 'Flower Garden', 'Jacuzzi', 'Wi-Fi Connectivity', 'Amphitheatre', 'Power Back up Lift', 'Vastu Compliant', 'Basketball Court', 'Badminton Court']"
SS Linden Floors,"4 BHK Independent Floor in Sector 84, Gurgaon","['Delhi Public School', 'Elan Miracle Mall', 'Dwarka Expressway', 'Holiday Inn Gurugram Sector 90', 'Miracles Apollo Cradle Spectra Hospital']","{'Delhi Public School': '650 Meters', 'Elan Miracle Mall': '1.5 Km', 'Dwarka Expressway': '1.7 Km', 'Holiday Inn Gurugram Sector 90': '2.7 Km', 'Miracles Apollo Cradle Spectra Hospital': '2.9 Km', 'Agri Business Management Collage': '4.4 Km', 'Delhi Jaipur Expressway': '5.5 Km', 'Gurgaon Railway Station': '13.9 Km', 'Indira Gandhi International Airport': '27.7 Km'}",https://www.99acres.com/ss-linden-floors-sector-84-gurgaon-npxid-r383068,"{'4 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '1,487.57 - 1,558 sq.ft.', 'price-range': '₹ 2 - 2.41 Cr'}}","['Swimming Pool', 'School', 'Entrance Lobby', 'CCTV Camera Security', 'Club House', 'Gated Community', 'Landscape Garden', 'Lift(s)', 'Car Parking']"
Mahindra Luminare,"3, 4, 5 BHK Apartment in Sector 59, Gurgaon","['Grand Hyatt Gurgaon', 'Duke Horse Riding Club', 'PVR Drive In Cinema', 'W Pratiksha Hospital', 'Sector 55-56 Metro Station']","{'Grand Hyatt Gurgaon': '1.7 Km', 'Duke Horse Riding Club': '2.1 Km', 'PVR Drive In Cinema': '2.2 Km', 'W Pratiksha Hospital': '2.6 Km', 'Sector 55-56 Metro Station': '2.7 Km', 'Metro World Mall': '3.7 Km', 'Unicosmos School': '3.9 Km', 'Sushant University': '4.4 Km', 'Faridabad Gurgaon Road': '4.9 Km', 'Sohna Road': '6.5 Km', 'Bestech Business Tower': '8.3 Km', 'Appu Ghar': '9.2 Km', 'SkyJumper Trampoline Park': '10 Km', 'Indira Gandhi International Airport': '20.6 Km', 'Axis Bank': '400 m'}",https://www.99acres.com/mahindra-luminare-sector-59-gurgaon-npxid-r62235,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,534.61 - 3,030 sq.ft.', 'price-range': '₹ 4.5 - 10.87 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,009.05 - 2,689.26 sq.ft.', 'price-range': '₹ 4.6 - 13.45 Cr'}, '5 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '3,384.52 sq.ft.', 'price-range': '₹ 4.77 - 11.54 Cr'}}","['Swimming Pool', 'Card Room', 'Restaurant', 'Spa', 'Squash Court', 'Gazebo', 'Banquet Hall', 'Lawn Tennis Court', 'Amphitheatre']"
M3M Golf Hills,"2, 3, 4 BHK Apartment in Sector 79, Gurgaon","['NH8', 'KMP Expressway', 'Dwarka Expressway', 'Karma Lakelands', 'Jungle Safari & Trails']","{'NH8': '5 Min', 'KMP Expressway': '10 Min', 'Dwarka Expressway': '15 Min', 'Karma Lakelands': '5 Min', 'Jungle Safari & Trails': '15 Min', 'DPS Manesar': '15 Min', 'Medanta Hospital': '15 Min'}",https://www.99acres.com/m3m-golf-hills-sector-79-gurgaon-npxid-r405181,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,420 sq.ft.', 'price-range': '₹ 1.49 - 1.5 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,532 - 2,155 sq.ft.', 'price-range': '₹ 1.61 - 3.49 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '2,630 - 2,677 sq.ft.', 'price-range': '₹ 2.78 - 4.34 Cr'}}","['Salon', 'Spa', 'Cricket Pitch', 'Lawn Tennis Court', 'Amphitheatre', 'Basketball Court', 'Badminton Court', 'Entrance Lobby', 'Yoga/Meditation Area']"
Suncity Vatsal Valley,"2, 3 BHK Independent Floor in Gwal Pahari, Gurgaon","['Faridabad - Gurgaon Road', ""Lingaya's Lalita Devi Institute"", 'ASF Insignia SEZ', 'Unicosmos School', 'Banjara Market Gurugram']","{'Faridabad - Gurgaon Road': '170 Meter', ""Lingaya's Lalita Devi Institute"": '1.6 KM', 'ASF Insignia SEZ': '3.2 KM', 'Unicosmos School': '5.7 KM', 'Banjara Market Gurugram': '5.9 KM', 'Sushant University': '6.5 KM', 'Sector 55-56 Metro Station': '6.6 KM', 'Central Plaza Mall': '8.9 KM', 'Paras Hospitals, Gurgaon': '8.9 KM', 'Badshahpur Sohna Rd Hwy': '15.3 KM', 'Gurgaon Railway Station': '19.5 KM', 'Indira Gandhi Intl Airport': '21.3 KM'}",https://www.99acres.com/suncity-vatsal-valley-gwal-pahari-gurgaon-npxid-r383788,"{'2 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '500 - 560 sq.ft.', 'price-range': '₹ 96 L - 1.1 Cr'}, '3 BHK': {'building_type': 'Independent Floor', 'area_type': 'Carpet Area', 'area': '755 - 770 sq.ft.', 'price-range': '₹ 1.22 - 1.41 Cr'}}","['Earthquake Resistant', 'Vastu Compliant', 'Entrance Lobby', '24/7 Power Backup', '24/7 Water Supply', 'Landscape Garden', ""Children's Play Area"", 'Lift(s)', 'Car Parking']"
Whiteland Blissville,"3 BHK Apartment in Sector 76, Gurgaon","['Vega School', 'Indian School of Hospitality', 'Vatika City Centre', 'Aatish Hospital', 'Hyatt Regency Gurgaon']","{'Vega School': '650 m', 'Indian School of Hospitality': '3.6 Km', 'Vatika City Centre': '3.5 Km', 'Aatish Hospital': '2.1 Km', 'Hyatt Regency Gurgaon': '3.6 Km', 'NH 48': '1.9 Km', 'Info Technology Park Phase 2': '7.7 Km', 'Huda Metro Station': '16 Km', 'Garhi Harsaru Junction': '11 Km', 'IGI Airport': '27.9 Km', 'Southern Peripheral Rd': '4.9 Km'}",https://www.99acres.com/whiteland-blissville-sector-76-gurgaon-npxid-r396984,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,300 - 1,690 sq.ft.', 'price-range': '₹ 1.4 - 2.47 Cr'}}","['Lounge', 'Barbecue', 'Creche/Day care', 'Yoga/Meditation Area', 'Club House', 'Gymnasium', 'Landscape Garden', ""Children's Play Area"", 'Lift(s)']"
Trump Tower,"3, 4 BHK Apartment in Sector 65, Gurgaon","['WorldMark Gurgaon', 'Global Ways School', 'Park Hospital', 'Gurugram University', 'Radisson Hotel']","{'WorldMark Gurgaon': '300 M', 'Global Ways School': '3.5 Km', 'Park Hospital': '4.4 Km', 'Gurugram University': '5.2 Km', 'Radisson Hotel': '5.3 Km', 'NH 248A': '6.3 Km', 'Sector 55/56 Metro Station': '6.5 Km', 'Garhi Harsaru Junction': '17.8 Km', 'Indira Gandhi International Airport': '25.2 Km'}",https://www.99acres.com/trump-tower-sector-65-gurgaon-npxid-r296597,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '3,525 sq.ft.', 'price-range': '₹ 8.2 - 8.64 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '4,550 - 6,050 sq.ft.', 'price-range': '₹ 10.3 - 15.29 Cr'}}","['Valet Parking', 'Foosball', 'Concierge Service', 'Infinity Pool', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Business Lounge', 'Laundry', 'Cigar Lounge']"
Tulip Monsella,"3, 4, 5 BHK Apartment in Sector 53, Gurgaon","['Mavens Inn', 'Sanar International Hospital', 'Central Plaza Mall', 'Sector 53-54 Metro Station', 'IILM University, Gurugram']","{'Mavens Inn': '350 M', 'Sanar International Hospital': '500 M', 'Central Plaza Mall': '1 Km', 'Sector 53-54 Metro Station': '1.3 Km', 'IILM University, Gurugram': '1.6 Km', 'The Banyan Tree World School': '2 Km', 'The Big Tree Cafe': '2.7 Km', 'DLF Golf and Country Club': '4.6 Km', 'DoubleTree by Hilton Hotel': '1.6 Km'}",https://www.99acres.com/tulip-monsella-sector-53-gurgaon-npxid-r390137,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,638 - 1,646 sq.ft.', 'price-range': '₹ 6 - 7.22 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,229 sq.ft.', 'price-range': '₹ 9.2 - 9.53 Cr'}, '5 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,822 sq.ft.', 'price-range': '₹ 10.34 - 12.06 Cr'}}","['Mini Theatre', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Business Lounge', 'Cigar Lounge', 'Golf Course', 'School', 'Card Room', 'Restaurant']"
