sector,coordinates
sector 99,"28.4640° N, 76.9614° E"
sector 99a,"28.4561° N, 76.9542° E"
sector 100,"28.4613° N, 76.9708° E"
sector 101,"28.4672° N, 76.9801° E"
sector 102,"28.4750° N, 76.9715° E"
sector 103,"28.4949° N, 76.9845° E"
sector 104,"28.4788° N, 76.9960° E"
sector 105,"28.4952° N, 77.0114° E"
sector 106,"28.5007° N, 77.0003° E"
sector 107,"28.5052° N, 76.9729° E"
sector 108,"28.5134° N, 76.9830° E"
sector 109,"28.5073° N, 77.0089° E"
sector 110,"28.5145° N, 77.0197° E"
sector 111,"28.5238° N, 77.0320° E"
sector 112,"28.5189° N, 77.0183° E"
sector 113,"28.5287° N, 77.0233° E"
sector 114,"28.5334° N, 77.0118° E"
sector 115,"28.5385° N, 77.0061° E"
gwal pahari,"28.4484° N, 77.0210° E"
manesar,"28.3515° N, 76.9428° E"
