property_name,link,society,price,rate,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,noOfFloor,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating,property_id
9 Bedroom House for sale in DLF Phase 2,https://www.99acres.com/9-bhk-bedroom-independent-house-villa-for-sale-in-dlf-city-phase-2-gurgaon-7000-sq-ft-spid-L69111278,,13.5 Crore,"₹ 19,286/sq.ft.",(650 sq.m.) Built-up Area,Built Up area: 7000 (650.32 sq.m.),9 Bedrooms,9 Bathrooms,No Balcony,,"Dlf City Phase 2, DLF Phase 2, Gurgaon, Haryana",1 Floors,East,1 to 5 Year Old,,Best in class property available at dlf city phase 2 location in gurgaon,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,"['Environment5 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety5 out of 5']",L69111278
9 Bedroom House for sale in Palam Vihar,https://www.99acres.com/9-bhk-bedroom-independent-house-villa-for-sale-in-palam-vihar-gurgaon-2430-sq-ft-spid-U69098430,,5.7 Crore,"₹ 22,634/sq.ft.",(226 sq.m.) Plot Area,Plot area 270(225.75 sq.m.),9 Bedrooms,9 Bathrooms,3+ Balconies,Pooja Room,"Palam Vihar, Gurgaon, Haryana",3 Floors,North-East,5 to 10 Year Old,"['Palam Vihar Vyapar kendra', 'Palam triangle', 'HUDA Sector 23 Market', 'Ram Mandir', 'Metro Hospital and Heart Institute Gurgaon', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Kalyan Hospital Gurgaon', 'Ansals plaza underground car parking', 'Ansals Plaza above ground car parking', 'HUDA sector 23 parking', 'Axis bank', 'Punjab national bank', 'Oriental bank of commerce', 'Big Cinemas', 'Cafe Coffee Day', 'Pizza Hut', ""Domino's Pizza"", 'Moti Mahal', 'Pind Baluchi', ""McDonald's"", 'Om Sweets', 'Chiranjiv Bharati School', 'Masti ki Pathshala Teach India', 'Swiss Cottage school', 'THE NORTHCAP UNIVERSITY', 'Palam vihar railway station', 'Bijwasan railway station']",House is located in the posh area of gurgaon. It is on the main road. It is beautifully designed. 3 bhk on each floor with attached washrooms.,"['9 Wardrobe', '10 Fan', '9 Geyser', '30 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,"['Environment5 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']",U69098430
1 Bedroom House for sale in Sushant Lok Phase 1,https://www.99acres.com/1-bhk-bedroom-independent-house-villa-for-sale-in-ansal-sushant-lok-plots-sushant-lok-phase-1-gurgaon-1242-sq-ft-spid-Y69091814,Ansal Sushant Lok Plots4.1 ★,3.3 Crore,"₹ 26,570/sq.ft.",(115 sq.m.) Plot Area,Plot area 138(115.39 sq.m.),1 Bedroom,1 Bathroom,No Balcony,,"Sushant Lok Phase 1, Gurgaon, Haryana",,,By 2027,"['Iffco chowk metro station', 'Huda city centre metro station', 'Standard chartered ATM', 'Kotak mahindra bank ATM', 'Icici bank ATM', 'Rbs ATM', 'Axis bank ATM', 'Punjab national bank ATM', 'Max Hospital', 'Dr. Kutbuddin Akbary', 'Sitaram Bhartia', 'Umkal Hospital', 'Dr. Naval Mendiratta', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Centre For Sight Gurgaon Sector 29', 'Sidhesh Hospital Gurgaon', 'Chikitsa', 'Guardian Pharmacy', 'Axis bank', 'Icici bank', 'Hdfc bank', 'Naveidyam', 'Pizza Hut', 'CCD', 'Drunken Monkey', 'Belgian Waffle', 'The Chicken Boat', 'Starbucks', 'Blue Tokai Coffee Roasters', 'Balaji Vegetarian Paradise', 'Dighent cafe', 'Fat', 'Nowhere Brewpub and cafe', 'Barbecue Grill', 'Roots', 'PWO house', 'MoB Ministory of Beer', 'Park Baluchi', 'Beer & Whisky Bar', 'Bikanervala', 'Gola Sizzles', 'The Oriental Bloom Chinese and Thai', 'Gravity Space Bar', 'Zura', 'Black Mambaa', ""McDonald's"", 'KFC', ""Domino's Pizza"", 'Bahrisons library', 'Ncr library']","Close proximity to gold souk , huda city centre , major hospitals",,,"['Environment5 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety5 out of 5']",Y69091814
4 Bedroom House for sale in Krishna Colony,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-krishna-colony-gurgaon-1575-sq-ft-spid-O69082386,,1.75 Crore,"₹ 11,111/sq.ft.",(146 sq.m.) Plot Area,Plot area 1575(146.32 sq.m.),4 Bedrooms,2 Bathrooms,2 Balconies,Others,"Krishna Colony, Gurgaon, Haryana",2 Floors,,10+ Year Old,"['Chintapurni Mandir', 'State bank ATM', 'Pearl Dental Clinic', 'Taneja Hospital', 'Dr. Ashok Jain', 'Dr. Madan Clinic', 'Geeta Nursing Home Gurgaon', 'Chiranjiv Hospital', 'Dev Man Kathuria Clinic', 'Aryan Hospital', 'Kr Dental Hub', 'Swastik Maternity and Medical Centre', 'Satyam Hospital Gurgaon', 'Ravi Clinic and Health Care Centre', 'D.R. Rajnis Gupta Clinic', 'Esic Hospital Gurugram', 'Gurgaon Eye Centre', 'Bindal Clinic', 'Shiv Mahima Patient Care Bureau', 'Shree Krishna Hospital Gurgaon', 'M.S Hospital', 'My Care Clinic', 'Ankur Clinic and Maternity Home', 'Triveni Hospital Gurgaon', 'Shri Gobind Hospital', 'Navjeevan Hospital and Maternity Centre', 'Lal Superspeciality Hospital', 'Sparsh Hospital Gurgaon', 'Prateek Nursing Home And Polyclinic', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Sarvodya Hospital', 'Bhatnagar Maternity and Nursing Home', 'Tirath Ram Hospitals Pvt Ltd', 'Dr. Sarvejeet Singh', 'Centre For Sight Gurgaon New Railway Road', 'Dr. Ajay S. Gupta Clinic', 'Kidney Clinic', 'Mangalam Hospital and Heart Centre Gurgaon', 'Sethi Hospital Gurgaon', 'Shubham Hospital Gurgaon', 'Kharbanda Maternity and Nursing Home', 'Gupta Hospital Gurgaon', 'Dentecare - Multispeciality Dental Clinic', 'State bank of india', 'Hdfc bank', 'Kotak bank', 'Indian bank', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College']","Nothing unique, just a normal house for a family like us :)","['1 Wardrobe', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Water Storage', 'Park', 'Visitor Parking']","['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']",O69082386
4 Bedroom House for sale in Sector 3 Gurgaon,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-bhim-garh-kheri-sector-3-gurgaon-1170-sq-ft-spid-T69080734,Bhim Garh Kheri,75 Lac,"₹ 6,410/sq.ft.",(109 sq.m.) Plot Area,Plot area 130(108.7 sq.m.),4 Bedrooms,2 Bathrooms,2 Balconies,,"269/1a, Sector 3 Gurgaon, Gurgaon, Haryana",2 Floors,West,10+ Year Old,"['Chintapurni Mandir', 'Sheetla Mata Mandir', 'State bank ATM', 'Jiya Clinic', 'Dr. Mittal Clinic', 'Sneh Hospital Gurgaon', 'Bhardwaj Hospital', 'R K Hospital Gurgaon', ""Dr. Anurag's Child Care Clinic"", 'Chirag Hospital Pvt. Ltd', 'Yashroop Medical Centre', 'Dr. Hitesh Dawar', 'Dr. Sindhu Clinic', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Sarvodya Hospital', 'Prateek Nursing Home And Polyclinic', 'Kr Dental Hub', 'Gurgaon Eye Centre', 'Shree Krishna Hospital Gurgaon', 'Dr. Ashok Jain', 'GH Gurgaon', 'Dr. Agya Ram Sharma Clinic', 'Aryan Hospital', 'Sparsh Hospital Gurgaon', 'D.R. Rajnis Gupta Clinic', 'Pearl Dental Clinic', 'Bhatnagar Maternity and Nursing Home', 'Kalyan Hospital Gurgaon', 'Geeta Nursing Home Gurgaon', 'Taneja Hospital', 'Ravi Clinic and Health Care Centre', 'Dr. Sarvejeet Singh', 'Jeevan Jyoti Hospital Gurgaon', 'Centre For Sight Gurgaon New Railway Road', 'Esic Hospital Gurugram', 'Dr. Tomar Clinic', 'Kidney Clinic', 'Children Hospital', 'Indian bank', 'Kotak bank', 'Hdfc bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Lieutenant Atul Kataria School', 'Dronacharya Government College', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']","Its a good place to live, fully ventilated, modular kitchen with chimney and specious house","['1 Light', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Water Storage']","['Environment4.5 out of 5', 'Lifestyle4 out of 5', 'Connectivity4.5 out of 5', 'Safety4.5 out of 5']",T69080734
8 Bedroom House for sale in Sector 12A Gurgaon,https://www.99acres.com/8-bhk-bedroom-independent-house-villa-for-sale-in-sector-12-a-gurgaon-4800-sq-ft-r1-spid-A65227308,,3.5 Crore,"₹ 133,079/sq.ft.",(24 sq.m.) Plot Area,Plot area 263(24.43 sq.m.)Built Up area: 4800 sq.ft. (445.93 sq.m.)Carpet area: 4400 sq.ft. (408.77 sq.m.),8 Bedrooms,8 Bathrooms,3+ Balconies,"Pooja Room,Study Room,Servant Room","313, Sector 12A Gurgaon, Gurgaon, Haryana",3 Floors,South-East,1 to 5 Year Old,"['Hanuman Mandir', 'Dental Health Centre', 'Nova Care Clinic', 'Verma E.N.T. Hospital', 'Lall Nursing and Maternity Home', 'Om Charitable Dental & Implant Centre', 'M Goel Hospital', 'Lall Eye Care Centre', 'Dentecare - Multispeciality Dental Clinic', 'Lalit Dental Care', 'Kharbanda Maternity and Nursing Home', 'Ahooja Eye and Dental Institute Hospital', 'Gupta Hospital Gurgaon', 'Jackson Hospital', 'Kidney Clinic', 'Dr. Sandeep Chauhan', 'Centre For Sight Gurgaon New Railway Road', 'Dr. Sarvejeet Singh', 'Rajiv Memorial Eye Infirmary Jacobpura', 'Sharma Hospital Gurgaon', 'Dr. Ajay S. Gupta Clinic', 'Mamta Hospital Gurgaon', 'Bhatnagar Maternity and Nursing Home', 'Lotus Hospital Gurgaon', 'Triveni Hospital Gurgaon', 'Bindal Clinic', 'M.S Hospital', 'Sparsh Hospital Gurgaon', 'Dr. Agya Ram Sharma Clinic', 'My Care Clinic', 'Ravi Clinic and Health Care Centre', 'D.R. Rajnis Gupta Clinic', 'GH Gurgaon', 'Saraswati Hospital Gurgaon', 'Nidhi Clinic', 'Aarvy Hospital', 'Aryan Hospital', 'Geeta Nursing Home Gurgaon', 'Chiranjiv Hospital', 'Swastik Maternity and Medical Centre', 'Dr. Tomar Clinic', 'Dr. Babita Sharma', 'Indian Oil', 'Rang Parivartan', 'Punjab national bank', 'State bank of india sbi', 'State bank of india', 'Dronacharya Government College', 'govt sec school', 'District library gurgaon']","It is situated in well established gated community huda sector.
Near to market, park, bus stand.","['1 Water Purifier', '14 Fan', '1 Exhaust Fan', '1 Dining Table', '6 Geyser', '40 Light', '4 AC', '1 Chimney', '1 Curtains', '1 Modular Kitchen', '8 Wardrobe', '1 Sofa', 'No Bed', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine']","['Private Garden / Terrace', 'High Ceiling Height', 'False Ceiling Lighting', 'Separate entry for servant room', 'Recently Renovated', 'Visitor Parking', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Rain Water Harvesting']","['Environment3 out of 5', 'Lifestyle4 out of 5', 'Connectivity4.5 out of 5', 'Safety4 out of 5']",A65227308
4 Bedroom House for sale in Sector 3 Gurgaon,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-3-gurgaon-603-sq-ft-spid-B69062474,,92 Lac,"₹ 15,257/sq.ft.",(56 sq.m.) Built-up Area,Built Up area: 603 (56.02 sq.m.),4 Bedrooms,1 Bathroom,No Balcony,,"Block F, Sector 3, Gurgaon, Sector 3 Gurgaon, Gurgaon, Haryana",1 Floors,,undefined,"['Palam Vihar Vyapar kendra', 'Palam triangle', 'Chintapurni Mandir', 'Sheetla Mata Mandir', 'State bank ATM', 'Jiya Clinic', 'Dr. Mittal Clinic', 'Chirag Hospital Pvt. Ltd', ""Dr. Anurag's Child Care Clinic"", 'R K Hospital Gurgaon', 'Sneh Hospital Gurgaon', 'Yashroop Medical Centre', 'Bhardwaj Hospital', 'Dr. Sindhu Clinic', 'Dr. Hitesh Dawar', 'Sarvodya Hospital', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Kalyan Hospital Gurgaon', 'Prateek Nursing Home And Polyclinic', 'Gurgaon Eye Centre', 'Kr Dental Hub', 'GH Gurgaon', 'Dr. Agya Ram Sharma Clinic', 'Jeevan Jyoti Hospital Gurgaon', 'Sparsh Hospital Gurgaon', 'Aryan Hospital', 'Dr. Ashok Jain', 'Shree Krishna Hospital Gurgaon', 'D.R. Rajnis Gupta Clinic', 'Children Hospital', 'Dr. Tomar Clinic', 'Bhatnagar Maternity and Nursing Home', 'Nidhi Clinic', 'Dr. Babita Sharma', 'Pearl Dental Clinic', 'Sheetla Clinic', 'Dr. Sarvejeet Singh', 'Geeta Nursing Home Gurgaon', 'Indian bank', 'Kotak bank', 'Hdfc bank', 'Pizza Hut', ""McDonald's"", 'Lieutenant Atul Kataria School', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']","A 4 bhk independent house for sale in sector 3, gurgaon. Posted by owner, no brokerage involved. This beautifully designed 4 bhk unit with all the modern-Day comforts is one of sector 3s most desired properties. Contact now for more information. The price of this independent house is rs 92.0 l. Maintenance charges come to rs 0. Each unit has a built-Up area of 603 square feet. There are 4 bedrooms. This residential property is near scr public school, focuss academy for defence exams : Nda coaching in gurgaon i cds i ctet i kvs i dsssb coaching, and lt atul katarya memorial school. It is also close to anu sidana, centre for sight eye hospital, and global hospital multispeciality hospital block f, sector 3, gurgaon","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,"['Environment4.5 out of 5', 'Lifestyle4 out of 5', 'Connectivity4.5 out of 5', 'Safety4.5 out of 5']",B69062474
7 Bedroom House for sale in Rajendra Park,https://www.99acres.com/7-bhk-bedroom-independent-house-villa-for-sale-in-rajendra-park-gurgaon-6300-sq-ft-r1-spid-K63723534,,Price on Request,,(585 sq.m.) Built-up Area,Built Up area: 700 (585.29 sq.m.),7 Bedrooms,6 Bathrooms,3 Balconies,,"Rajendra Park, Gurgaon, Haryana",4 Floors,,5 to 10 Year Old,,"6 bath, furnished, 2 side open, at rajendra park location gurgaon","['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,"['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']",K63723534
3 Bedroom House for sale in Farukhnagar,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-farukhnagar-gurgaon-900-sq-ft-spid-F69032068,,52 Lac,"₹ 5,778/sq.ft.",(84 sq.m.) Plot Area,Plot area 100(83.61 sq.m.),3 Bedrooms,2 Bathrooms,2 Balconies,,"Farukhnagar, Gurgaon, Haryana",2 Floors,,0 to 1 Year Old,"['Dr. Manish Pandey', 'Verma Dental Clinic', 'Rana Clinic Farukh Nagar', 'Shri Bala G Hospital and Trauma Centre', 'Radha Kishan Hospital', 'Family Dental Care', 'Sai Ram Hospital', 'Kalawati Hospital and Maternity Center', 'Lord Krishna Hospital', 'Kailash Hospital', 'Vardan Dental Hospital', 'Eye Q Hospital', 'Civil Hospital Farrukh Nagar', 'Vanya Clinic']","Interested to sell independent house/villa.Placed at farukhnagar.It has spacious 3 bedrooms and 2 bathrooms. .Want to sell it for rs 5200000.It is a 0-1 years old property construction,close bus stand",[],,"['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']",F69032068
8 Bedroom House for sale in Laxman Vihar,https://www.99acres.com/8-bhk-bedroom-independent-house-villa-for-sale-in-laxman-vihar-gurgaon-1800-sq-ft-r2-spid-F62827022,,1.1 Crore,"₹ 6,111/sq.ft.",(167 sq.m.) Plot Area,Plot area 200(167.23 sq.m.),8 Bedrooms,4 Bathrooms,3+ Balconies,,"1331/31, Laxman Vihar, Gurgaon, Haryana",2 Floors,West,10+ Year Old,"['Chintapurni Mandir', 'Sheetla Mata Mandir', 'State bank ATM', 'Prateek Nursing Home And Polyclinic', 'Sneh Hospital Gurgaon', 'Dr. Hitesh Dawar', 'Kr Dental Hub', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Sarvodya Hospital', 'Bhardwaj Hospital', 'Dr. Mittal Clinic', 'Jiya Clinic', 'Dr. Sindhu Clinic', 'Shree Krishna Hospital Gurgaon', ""Dr. Anurag's Child Care Clinic"", 'Yashroop Medical Centre', 'Gurgaon Eye Centre', 'R K Hospital Gurgaon', 'Dr. Ashok Jain', 'Pearl Dental Clinic', 'Chirag Hospital Pvt. Ltd', 'Esic Hospital Gurugram', 'Aryan Hospital', 'Taneja Hospital', 'D.R. Rajnis Gupta Clinic', 'Sparsh Hospital Gurgaon', 'Geeta Nursing Home Gurgaon', 'Dr. Agya Ram Sharma Clinic', 'GH Gurgaon', 'Ravi Clinic and Health Care Centre', 'Bhatnagar Maternity and Nursing Home', 'Chiranjiv Hospital', 'Dr. Sarvejeet Singh', 'Dr. Madan Clinic', 'Centre For Sight Gurgaon New Railway Road', 'Bindal Clinic', 'Kidney Clinic', 'Swastik Maternity and Medical Centre', 'Dev Man Kathuria Clinic', 'Indian bank', 'Kotak bank', 'Hdfc bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']","Location laxman vihar opposite sec-4 near rathi sariya gali no.2 phase 1, dhanwapur road. H.No. 1331/31, gurgaon.
1 and half floor built.
Ground floor 5 rooms, 2 kitchen.
First floor 3 rooms, 2 kitchen.
Running on rent.",,['Water Storage'],"['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']",F62827022
4 Bedroom House for sale in Sector 6 Gurgaon,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-6-gurgaon-480-sq-ft-spid-S69021458,Surendra Homes Dayanand Colony,75 Lac,"₹ 15,625/sq.ft.",(45 sq.m.) Built-up Area,Built Up area: 480 (44.59 sq.m.),4 Bedrooms,4 Bathrooms,2 Balconies,,"Surendra Homes Dayanand Colony, Gurgaon Village, Sector 6, Gurgaon, Sector 6 Gurgaon, Gurgaon, Haryana",1 Floors,,undefined,"['Sheetla Mata Mandir', 'Chintapurni Mandir', 'GH Gurgaon', 'Dr. Agya Ram Sharma Clinic', 'Sparsh Hospital Gurgaon', 'Bhatnagar Maternity and Nursing Home', 'Gurgaon Eye Centre', 'Dr. Sarvejeet Singh', 'Jackson Hospital', 'Centre For Sight Gurgaon New Railway Road', 'D.R. Rajnis Gupta Clinic', 'Kidney Clinic', 'Aryan Hospital', 'Dr. Sindhu Clinic', 'Lalit Dental Care', 'M Goel Hospital', 'Kharbanda Maternity and Nursing Home', 'Dentecare - Multispeciality Dental Clinic', 'Lall Nursing and Maternity Home', 'Ravi Clinic and Health Care Centre', 'Om Charitable Dental & Implant Centre', 'Lall Eye Care Centre', 'Sarvodya Hospital', 'Dr. Tomar Clinic', 'Yashroop Medical Centre', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Dental Health Centre', 'Nidhi Clinic', 'Children Hospital', 'Jeevan Jyoti Hospital Gurgaon', 'Geeta Nursing Home Gurgaon', 'Mamta Hospital Gurgaon', 'Dr. Babita Sharma', 'Nova Care Clinic', 'Verma E.N.T. Hospital', 'Lotus Hospital Gurgaon', ""Dr. Anurag's Child Care Clinic"", 'Gupta Hospital Gurgaon', 'Bindal Clinic', 'M.S Hospital', 'Triveni Hospital Gurgaon', 'Sheetla Clinic', 'My Care Clinic', 'Chiranjiv Hospital', 'Ahooja Eye and Dental Institute Hospital', 'State bank of india', 'Rang Parivartan', 'Dronacharya Government College', 'Lieutenant Atul Kataria School', 'St. Michaels Sr. Sec. School']","Looking for a 4 bhk independent house for sale in gurgaon? Your search ends here. Buy this 4 bhk property in gurgaons finest location, sector 6. This is an owner listed property and there is no brokerage involved. This independent house is available at a reasonable price of rs 75.0 l. Maintenance charges in this property is rs 0. The built up area of this property is 480 square feet. There are 4 bedrooms and 4 bathroom. There are a number of reputed schools in the vicinity such as scr public school, focuss academy for defence exams : Nda coaching in gurgaon i cds i ctet i kvs i dsssb coaching, and lt atul katarya memorial school. Medical facility is also close at hand with names like centre for sight eye hospital, anu sidana, and miracles mediclinic surendra homes dayanand colony surendra homes dayanand colony, gurgaon village, sector 6, gurgaon","['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,"['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']",S69021458
2 Bedroom House for sale in Laxman Vihar,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-laxman-vihar-gurgaon-160-sq-ft-spid-R68998694,,1.25 Crore,"₹ 78,125/sq.ft.",(15 sq.m.) Built-up Area,Built Up area: 160 (14.86 sq.m.),2 Bedrooms,3 Bathrooms,No Balcony,,"Laxman Vihar, Sector 3a, Laxman Vihar, Gurgaon, Haryana",1 Floors,,undefined,"['Chintapurni Mandir', 'Sheetla Mata Mandir', 'State bank ATM', 'Prateek Nursing Home And Polyclinic', 'Sneh Hospital Gurgaon', 'Dr. Hitesh Dawar', 'Kr Dental Hub', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Sarvodya Hospital', 'Bhardwaj Hospital', 'Shree Krishna Hospital Gurgaon', 'Dr. Sindhu Clinic', 'Dr. Mittal Clinic', 'Jiya Clinic', ""Dr. Anurag's Child Care Clinic"", 'Yashroop Medical Centre', 'Gurgaon Eye Centre', 'Dr. Ashok Jain', 'R K Hospital Gurgaon', 'Pearl Dental Clinic', 'Chirag Hospital Pvt. Ltd', 'Esic Hospital Gurugram', 'Aryan Hospital', 'Taneja Hospital', 'D.R. Rajnis Gupta Clinic', 'Sparsh Hospital Gurgaon', 'Geeta Nursing Home Gurgaon', 'Dr. Agya Ram Sharma Clinic', 'GH Gurgaon', 'Ravi Clinic and Health Care Centre', 'Bhatnagar Maternity and Nursing Home', 'Chiranjiv Hospital', 'Dr. Sarvejeet Singh', 'Dr. Madan Clinic', 'Centre For Sight Gurgaon New Railway Road', 'Bindal Clinic', 'Kidney Clinic', 'Swastik Maternity and Medical Centre', 'Dev Man Kathuria Clinic', 'Indian bank', 'Kotak bank', 'Hdfc bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']",Best in class property available at laxman vihar location in gurgaon,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,"['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']",R68998694
4 Bedroom House for sale in Sector 10A Gurgaon,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-10-a-gurgaon-2367-sq-ft-spid-E68965024,,4.25 Crore,"₹ 17,955/sq.ft.",(220 sq.m.) Built-up Area,Built Up area: 2367 (219.9 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),4 Bedrooms,3 Bathrooms,2 Balconies,,"Sector 10a., Sector 10A Gurgaon, Gurgaon, Haryana",1 Floors,North-East,undefined,"['Rajiv Chowk Mosque', 'Bhanu Dental Care', 'Sai Dental Clinic', 'Gautam Hospital', 'Nutan Dental Hospital', 'Yadav Hospital Gurgoan', 'Shri Ram Dental Clinic', 'Sunrise Hospital Gurgaon', 'Harshila Dental Clinic', 'Clove Dental', 'Parmar Dental Clinic & Lab', 'Dental Xpert Dental Clinic', 'Chandna Dental Surgery Orthodontic and Implant Centre', 'The Muskan Dental Clinic', 'Rachna Dental Clinic', 'Mangalam Hospital and Heart Centre Gurgaon', 'Ayushman Hospital And Trauma Centre', 'Ankur Clinic and Maternity Home', 'Vaishnavi Nursing Home', 'Navjeevan Hospital and Maternity Centre', 'Rajendra Hospital', 'Shiv Mahima Patient Care Bureau', 'Kathuria Hospital', 'Shri Gobind Hospital', 'Lal Superspeciality Hospital', 'Parashar Hospital', 'Kamla Hospital Gurgaon', 'Vinayak Hospital Gurgaon', 'Tirath Ram Hospitals Pvt Ltd', 'Sethi Hospital Gurgaon', 'Shubham Hospital Gurgaon', 'Nangia Hospital Ent and Maternity', 'Smile Plus Dental Clinic', 'Pasricha Hospital and Maternity Home', 'Satyam Hospital Gurgaon', 'Dev Man Kathuria Clinic', 'Rama Hospital & Nursing Home', 'Dr. Madan Clinic', 'Shri Multispeciality Hospital', 'Swastik Maternity and Medical Centre', 'Airforce Hospital', 'Thakral Nursing and Maternity Home', 'Taneja Hospital', 'Chiranjiv Hospital', 'My Care Clinic', 'Road and Traffic Authority', 'Gurgaon Election Commission', 'Boxer Fuel Point', 'IBP Petrol Station']",Interested to sell independent house/villa.It is a 0-1 years old property constructionplaced at sector 10a gurgaon.2367.00 sq.Ft.(Builtup area)  is the area of the propertynice unfurnished enhancing decorit has spacious 4 bedrooms and 3 bathrooms. .Want to sell it for rs 42500000.,,,"['Environment4 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety5 out of 5']",E68965024
