property_name,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,floorNum,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating
4 Bedroom House for sale in Sector 48 Gurgaon,house,vipul tatvam villa,7.69,24069.0,3195.0,Plot area 355(296.83 sq.m.),4,5,3,"pooja room,study room,servant room,store room","2023, Sector 48 Gurgaon, Gurgaon, Haryana",2,North-West,5 to 10 Year Old,"['Athena', 'Star Mall', 'The Sixth Element School', 'K.R.Mangalam World School', 'Medhaam Pre School & Daycare', 'Peer Baba Ki Mazar', 'HDFC Bank', 'Punjab National Bank', 'Axis Bank', 'Sushil Park', 'CoNexus.Life B35', 'World Tech Park', 'Marriott Courtyard', 'Moksh Wellness Pvt Ltd.', 'Bharat Petroleum Petrol Pump']","Exclusive inventory for sale in 287/360/500/750sqyd. Tatvam villas, spread over an area of 50 acres (Approx), is a part of 150 acres premium integrated township called vipul world on main sohna road, gurgaon. 254 exclusive villas designed to match the taste of the discerning few
 Additional details :The kitchen has been built with modular fittings.
 The house has muncipal supply supply.
There is also a separate washroom for domestic help.
You can easily park your car inside the compound
Having a provision to park 1 cars.","['4 Wardrobe', '1 Exhaust Fan', '6 Geyser', '1 Stove', '8 Light', '9 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']"
4 Bedroom House for sale in Sector 82 Gurgaon,house,independent,7.0,21605.0,3240.0,Plot area 360(301.01 sq.m.),4,4,3+,"pooja room,study room,servant room","Sector 82 Gurgaon, Gurgaon, Haryana",1,North-East,1 to 5 Year Old,"['Orris Community Center', 'Petrol Pump Indian Oil', 'Essar Petrol Pump', 'Petrol Pump Indian Oil', 'Petrol Pump', 'Indian Oil', 'HP Petrol Pump', 'Vijay Petrol Pump', 'KFC', 'Pizza Hut', 'Rao Dhaba', ""McDonald's""]","1 360 sq. Yd
2park facing villa
3 4 bhk
4 (4) washrooms
5 (2) kitchen
 # 100% power back-Up
360 sq. Yd. 4 bhk park facing villa for sale in sector 82 gurgaon, a popular residential locality that contains many of the in-Demand properties in gurgaon. The house has over super built up area of 360 sq.Yards and comes with 4 bedrooms, 4 bathrooms and more than 3 balconies. The owner of the house also gets 2 covered and 2 open parking slot(s) to park their car safely. Another added advantage of this 1-5 years old house is that it is available for immediate possession. The type of ownership of this property is freehold.","['13 Fan', '1 Exhaust Fan', '6 Geyser', '38 Light', '7 AC', '1 Chimney', '1 Modular Kitchen', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']"
2 Bedroom House for sale in New Colony,house,independent,1.55,13889.0,1116.0,Plot area 120(100.34 sq.m.),2,2,2,not available,"New Colony, Gurgaon, Haryana",1,East,5 to 10 Year Old,"['State bank ATM', 'Taneja Hospital', 'Geeta Nursing Home Gurgaon', 'Pearl Dental Clinic', 'Chiranjiv Hospital', 'Dr. Madan Clinic', 'Dev Man Kathuria Clinic', 'Swastik Maternity and Medical Centre', 'Ravi Clinic and Health Care Centre', 'Aryan Hospital', 'Dr. Ashok Jain', 'Bindal Clinic', 'Satyam Hospital Gurgaon', 'D.R. Rajnis Gupta Clinic', 'M.S Hospital', 'My Care Clinic', 'Triveni Hospital Gurgaon', 'Sparsh Hospital Gurgaon', 'Shiv Mahima Patient Care Bureau', 'Bhatnagar Maternity and Nursing Home', 'Shri Gobind Hospital', 'Gurgaon Eye Centre', 'Lal Superspeciality Hospital', 'Dr. Ajay S. Gupta Clinic', 'Navjeevan Hospital and Maternity Centre', 'Dr. Sarvejeet Singh', 'Centre For Sight Gurgaon New Railway Road', 'Ankur Clinic and Maternity Home', 'Kidney Clinic', 'Tirath Ram Hospitals Pvt Ltd', 'Kharbanda Maternity and Nursing Home', 'Gupta Hospital Gurgaon', 'Dentecare - Multispeciality Dental Clinic', 'Lall Eye Care Centre', 'Om Charitable Dental & Implant Centre', 'Lalit Dental Care', 'Lall Nursing and Maternity Home', 'Shubham Hospital Gurgaon', 'Sethi Hospital Gurgaon', 'Kr Dental Hub', 'M Goel Hospital', 'Pasricha Hospital and Maternity Home', 'Verma E.N.T. Hospital', 'State bank of india', 'Hdfc bank', 'Kotak bank', 'Indian bank', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College']","120 square yards made 2 bhk house in a gated locality just close to park, well maintained house in best location of new colony. All facilities are on walking distance such as park, market, school, bank, atm, hospital, chemist etc. 
Contact us and give us an opportunity to serve you and share our 20 years experience with you.
 Additional details :Piped gas facility is available.
The kitchen has been built with modular fittings.
 The house has muncipal supply supply.
There is also a separate washroom for domestic help.
You can easily park your car inside the compound
Having a provision to park 2 cars.","['2 Wardrobe', '3 Fan', '60 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Park', 'Recently Renovated', 'Visitor Parking', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society']","['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']"
4 Bedroom House for sale in Sector 7 Gurgaon,house,independent,3.85,14650.0,2628.0,Plot area 292(244.15 sq.m.),4,4,3,not available,"Sector 7 Gurgaon, Gurgaon, Haryana",3,North-West,10+ Year Old,"['Chintapurni Mandir', 'State bank ATM', 'Dr. Ashok Jain', 'Pearl Dental Clinic', 'Kr Dental Hub', 'Taneja Hospital', 'Gurgaon Eye Centre', 'Aryan Hospital', 'Geeta Nursing Home Gurgaon', 'Prateek Nursing Home And Polyclinic', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Sarvodya Hospital', 'Shree Krishna Hospital Gurgaon', 'D.R. Rajnis Gupta Clinic', 'Chiranjiv Hospital', 'Dr. Madan Clinic', 'Ravi Clinic and Health Care Centre', 'Esic Hospital Gurugram', 'Sparsh Hospital Gurgaon', 'Dev Man Kathuria Clinic', 'Swastik Maternity and Medical Centre', 'Bindal Clinic', 'Bhatnagar Maternity and Nursing Home', 'M.S Hospital', 'Dr. Sindhu Clinic', 'Satyam Hospital Gurgaon', 'My Care Clinic', 'Triveni Hospital Gurgaon', 'Sneh Hospital Gurgaon', 'Dr. Sarvejeet Singh', 'Centre For Sight Gurgaon New Railway Road', 'Shiv Mahima Patient Care Bureau', 'Dr. Agya Ram Sharma Clinic', 'Kidney Clinic', 'Shri Gobind Hospital', 'Ankur Clinic and Maternity Home', 'Lal Superspeciality Hospital', 'Navjeevan Hospital and Maternity Centre', 'Kharbanda Maternity and Nursing Home', 'Lalit Dental Care', 'GH Gurgaon', 'Dentecare - Multispeciality Dental Clinic', 'Lall Eye Care Centre', 'Hdfc bank', 'Kotak bank', 'Indian bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College']","292 square yards 2.5 made 5 bhk house in a gated locality just close to park, well maintained house in best location of sector 7. All facilities are on walking distance such as park, market, school, bank, atm, hospital, chemist etc. 
Contact us and give us an opportunity to serve you and share our 20 years experience with you.
 
 
 Additional details :Piped gas facility is available.
The kitchen has been built with modular fittings.
 The house has muncipal supply supply.
There is also a separate washroom for domestic help.
You can easily park your car inside the compound
Having a provision to park 2 cars.","['21 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Park', 'Visitor Parking', 'Low Density Society']","['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']"
2 Bedroom House for sale in Sector 7 Gurgaon,house,independent,2.0,13889.0,1440.0,Plot area 160(133.78 sq.m.),2,2,2,not available,"Sector 7 Gurgaon, Gurgaon, Haryana",2,North-West,10+ Year Old,"['Chintapurni Mandir', 'Sheetla Mata Mandir', 'State bank ATM', 'Yashroop Medical Centre', 'Dr. Sindhu Clinic', ""Dr. Anurag's Child Care Clinic"", 'Dr. Mittal Clinic', 'Jiya Clinic', 'Sneh Hospital Gurgaon', 'Sarvodya Hospital', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Gurgaon Eye Centre', 'GH Gurgaon', 'Prateek Nursing Home And Polyclinic', 'Dr. Agya Ram Sharma Clinic', 'Kr Dental Hub', 'Sparsh Hospital Gurgaon', 'Aryan Hospital', 'D.R. Rajnis Gupta Clinic', 'Bhatnagar Maternity and Nursing Home', 'Dr. Ashok Jain', 'Bhardwaj Hospital', 'Dr. Hitesh Dawar', 'R K Hospital Gurgaon', 'Dr. Sarvejeet Singh', 'Geeta Nursing Home Gurgaon', 'Ravi Clinic and Health Care Centre', 'Pearl Dental Clinic', 'Centre For Sight Gurgaon New Railway Road', 'Jeevan Jyoti Hospital Gurgaon', 'Chirag Hospital Pvt. Ltd', 'Kidney Clinic', 'Dr. Tomar Clinic', 'Jackson Hospital', 'Children Hospital', 'Nidhi Clinic', 'Lalit Dental Care', 'Taneja Hospital', 'Indian bank', 'Kotak bank', 'Hdfc bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Lieutenant Atul Kataria School', 'Dronacharya Government College', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']","160 square yards double story made 4 bhk house in a gated locality just close to park, well maintained house in best location of sector 7. All facilities are on walking distance such as park, market, school, bank, atm, hospital, chemist etc. 
Contact us and give us an opportunity to serve you and share our 20 years experience with you.
 
 
 Additional details :Piped gas facility is available.
The kitchen has been built with modular fittings.
 The house has muncipal supply supply.
There is also a separate washroom for domestic help.
You can easily park your car inside the compound
Having a provision to park 2 cars.","['40 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Park', 'Visitor Parking', 'Low Density Society']","['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']"
3 Bedroom House for sale in Sector 7 Gurgaon,house,independent,3.1,13778.0,2250.0,Plot area 250(209.03 sq.m.),3,3,2,not available,"Sector 7 Gurgaon, Gurgaon, Haryana",2,North-West,10+ Year Old,"['Chintapurni Mandir', 'State bank ATM', 'Dr. Ashok Jain', 'Pearl Dental Clinic', 'Kr Dental Hub', 'Taneja Hospital', 'Gurgaon Eye Centre', 'Aryan Hospital', 'Geeta Nursing Home Gurgaon', 'Prateek Nursing Home And Polyclinic', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Sarvodya Hospital', 'Shree Krishna Hospital Gurgaon', 'D.R. Rajnis Gupta Clinic', 'Chiranjiv Hospital', 'Dr. Madan Clinic', 'Ravi Clinic and Health Care Centre', 'Esic Hospital Gurugram', 'Sparsh Hospital Gurgaon', 'Dev Man Kathuria Clinic', 'Swastik Maternity and Medical Centre', 'Bindal Clinic', 'Bhatnagar Maternity and Nursing Home', 'M.S Hospital', 'Dr. Sindhu Clinic', 'Satyam Hospital Gurgaon', 'My Care Clinic', 'Triveni Hospital Gurgaon', 'Sneh Hospital Gurgaon', 'Dr. Sarvejeet Singh', 'Centre For Sight Gurgaon New Railway Road', 'Shiv Mahima Patient Care Bureau', 'Dr. Agya Ram Sharma Clinic', 'Kidney Clinic', 'Shri Gobind Hospital', 'Ankur Clinic and Maternity Home', 'Lal Superspeciality Hospital', 'Navjeevan Hospital and Maternity Centre', 'Kharbanda Maternity and Nursing Home', 'Lalit Dental Care', 'GH Gurgaon', 'Dentecare - Multispeciality Dental Clinic', 'Lall Eye Care Centre', 'Hdfc bank', 'Kotak bank', 'Indian bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College']","250 square yards double story made 5 bhk house in a gated locality just close to park, north east facing well maintained house in best location of sector 7. All facilities are on walking distance such as park, market, school, bank, atm, hospital, chemist etc. 
Contact us and give us an opportunity to serve you and share our 20 years experience with you.
 
 Additional details :Piped gas facility is available.
The kitchen has been built with modular fittings.
 The house has muncipal supply supply.
There is also a separate washroom for domestic help.
You can easily park your car inside the compound
Having a provision to park 2 cars.","['6 Wardrobe', '30 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Park', 'Visitor Parking', 'Low Density Society']","['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']"
3 Bedroom House for sale in Sector 7 Gurgaon,house,independent,2.25,15625.0,1440.0,Plot area 160(133.78 sq.m.),3,3,2,not available,"Sector 7 Gurgaon, Gurgaon, Haryana",2,North-West,10+ Year Old,"['Chintapurni Mandir', 'State bank ATM', 'Dr. Ashok Jain', 'Pearl Dental Clinic', 'Taneja Hospital', 'Kr Dental Hub', 'Shree Krishna Hospital Gurgaon', 'Esic Hospital Gurugram', 'Prateek Nursing Home And Polyclinic', 'Geeta Nursing Home Gurgaon', 'Aryan Hospital', 'Dr. Madan Clinic', 'Gurgaon Eye Centre', 'Chiranjiv Hospital', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Dev Man Kathuria Clinic', 'D.R. Rajnis Gupta Clinic', 'Sarvodya Hospital', 'Ravi Clinic and Health Care Centre', 'Swastik Maternity and Medical Centre', 'Satyam Hospital Gurgaon', 'Sparsh Hospital Gurgaon', 'Bindal Clinic', 'M.S Hospital', 'My Care Clinic', 'Shiv Mahima Patient Care Bureau', 'Triveni Hospital Gurgaon', 'Bhatnagar Maternity and Nursing Home', 'Ankur Clinic and Maternity Home', 'Shri Gobind Hospital', 'Navjeevan Hospital and Maternity Centre', 'Lal Superspeciality Hospital', 'Dr. Sindhu Clinic', 'Sneh Hospital Gurgaon', 'Dr. Sarvejeet Singh', 'Centre For Sight Gurgaon New Railway Road', 'Kidney Clinic', 'Dr. Agya Ram Sharma Clinic', 'Dr. Ajay S. Gupta Clinic', 'Kharbanda Maternity and Nursing Home', 'Tirath Ram Hospitals Pvt Ltd', 'Lalit Dental Care', 'Dentecare - Multispeciality Dental Clinic', 'Hdfc bank', 'Kotak bank', 'Indian bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College']","160 square yards double story made 4 bhk house in the best block, gated, just close to park, north east facing, well maintained house in best location of sector 7. All facilities are on walking distance such as park, market, school, bank, atm, hospital, chemist etc. 
Contact us and give us an opportunity to serve you and share our 20 years experience with you.
 
 
 Additional details :Piped gas facility is available.
The kitchen has been built with modular fittings.
 The house has muncipal supply supply.
There is also a separate washroom for domestic help.
You can easily park your car inside the compound
Having a provision to park 2 cars.","['4 Wardrobe', '8 Fan', '52 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Park', 'Visitor Parking', 'Low Density Society']","['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']"
4 Bedroom House for sale in Nirvana Country,house,independent,7.0,23333.0,3000.0,Plot area 2400(222.97 sq.m.)Built Up area: 3400 sq.ft. (315.87 sq.m.)Carpet area: 3000 sq.ft. (278.71 sq.m.),4,4,2,servant room,"Nirvana Country, Gurgaon, Haryana",3,North-East,10+ Year Old,"['Radhakrishna Shani Mandir', 'Standard chartered ATM', 'Icici bank ATM', 'Vatsalya Clinic', 'Meher Clinic', 'Bones Clinic - Orthopaedics', 'Vishesh Dental', 'Dr. Naresh Pandita', 'Park Hospital Gurgaon', 'Neelkanth Health Care', 'Dr. Anuj Sharma', 'Skin Clinic', 'Divine Look Clinic Centre', 'Dr. Aruna Kalra', 'Wellness Eye Centre', 'Best Urologist Atcomplete Family Clinic', 'Sukhmani Hospital Pvt. Ltd', 'Wembley estate club', 'Gardian Pharmacy', 'Genius', 'Apollo Pharmacy', 'SPAZE BUSINESS PARK', 'Unitech', 'Hdfc bank', 'Hdfc bank', 'Hdfc bank', 'Icici bank', 'Indusind bank', 'Hdfc bank and atm', 'SRS Cinemas', 'Madison and Pike', 'India', 'Haldiram', ""Domino's Pizza"", ""Nirula's"", 'Starbucks', 'Nook', 'Pizza Hut', 'Kamla International', 'Gurugram University', 'Amity Global School', 'Delhi Public School Primary Section', 'Manav Rachna School', 'Manav Rachna Swimming Pool']","4 bhk villa sale in nirvana country 
Gated 
Power back up club 
With all amenities","['5 Wardrobe', '1 Dining Table', '5 Light', '5 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","['Environment5 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety5 out of 5']"
4 Bedroom House for sale in Sector 48 Gurgaon,house,vipul tatvam villa,8.5,21250.0,4000.0,Plot area 4000(371.61 sq.m.),4,5,3+,"pooja room,study room,servant room,others","003, Sector 48 Gurgaon, Gurgaon, Haryana",2,North,5 to 10 Year Old,"['Athena', 'Star Mall', 'The Sixth Element School', 'K.R.Mangalam World School', 'Medhaam Pre School & Daycare', 'Peer Baba Ki Mazar', 'HDFC Bank', 'Punjab National Bank', 'Axis Bank', 'Sushil Park', 'CoNexus.Life B35', 'World Tech Park', 'Marriott Courtyard', 'Moksh Wellness Pvt Ltd.', 'Bharat Petroleum Petrol Pump']","Do you wish to buy an independent house in sector 48 gurgaon. This 4 bhk house looks like an ideal choice for somebody looking for peace of mind. The floor plan additionally contains 4 bedrooms, 5 bathrooms and more than 3 balconies. All in all, the independent house is spread over a super built up area of 4000 sq.Ft. The houses comes with dedicated 3 open parking space(s) where you can easily park your vehicle(s). As the property is already ready to move, so you can easily move into this 5-10 years old house. This house is owned under leasehold contract. By paying just  8.5 crore, you can become the proud owner of this independent house.","['5 Wardrobe', '1 Water Purifier', '6 Fan', '1 Exhaust Fan', '5 Geyser', '1 Stove', '21 Light', '1 Modular Kitchen', '1 Chimney', '7 AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']"
4 Bedroom House for sale in Sector 66 Gurgaon,house,emaar mgf marbella,8.7,38667.0,2250.0,Plot area 250(209.03 sq.m.)Built Up area: 267 sq.yards (223.25 sq.m.),4,5,2,"study room,servant room","Sector 66 Gurgaon, Gurgaon, Haryana",3,East,0 to 1 Year Old,"['Sector 55-56 Rapid Metro Station', 'HUB 66', 'NH 48', 'Hasanpur', 'Gurugram University', 'Delhi Public School', 'Park Hospital', 'Indira Gandhi International Airport', 'Sealdah', 'Vatika Business Centre', 'The Oberoi', 'De Adventure Park', 'DLF Golf and Country Club', 'Tau DeviLal Sports Complex']","Looking to buy an independent house in gurgaon? Do check out this 4 bhk house in sector 66 gurgaon, which is an ideal choice for a family. The house has over super built up area of 250 sq.Yards and comes with 4 bedrooms, 5 bathrooms and 2 balconies. The owner of the house also gets 2 covered parking slot(s) to park their car safely. This 0-1 year old property is available for immediate possession as the house is ready to move. It is a freehold property. By paying just 8.7 crore, you can become the proud owner of this independent house. The independent house is designed very well and will provide modern facilities such as maintenance staff, visitor parking, park, fitness centre / gym, swimming pool, club house / community center and security personnel. The housing society ensures a continuous supply of water to your house from municipal corporation. This residential house is east-Facing direction. The well built vitrified flooring enhances the aesthetic appeal of this independent house. The vitrified flooring of this independent house is beautifully designed and helps to give it a pleasing look.",,"['Centrally Air Conditioned', 'Water purifier', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']","['Environment3 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']"
5 Bedroom House for sale in Sector 109 Gurgaon,house,international city by sobha phase 2,12.5,26667.0,4687.0,Plot area 500(418.06 sq.m.),5,6,3,"pooja room,study room,servant room,store room","252, Sector 109 Gurgaon, Gurgaon, Haryana",3,East,1 to 5 Year Old,"['Dwarka Sector 21 Metro Station', 'Pacific D21 Mall', 'Dwarka Expressway', 'Euro International School', 'The NorthCap University', 'Aryan Hospital', 'Indira Gandhi Intl Airport', 'Gurgaon Railway Station']","4 luxurious bedrooms, drawing / dining / kitchens on same level and a large multipurpose basement for work / entertainment along with wet & dry kitchens, helper quarters and washroom with separate entrance.
This comes with one of the largest fully functional clubhouses in gurgaon (The club, international city) spread over 65,000 sq ft, across 5 floors - Which is only 5 minute walk from the villa.","['7 Geyser', '12 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Park', 'Piped-gas', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","['Environment5 out of 5', 'Lifestyle4 out of 5', 'Connectivity3.5 out of 5', 'Safety4.5 out of 5']"
4 Bedroom House for sale in Sector 109 Gurgaon,house,international city by sobha phase 2,6.8,12593.0,5400.0,Plot area 600(501.68 sq.m.),4,5,3,servant room,"128, Sector 109 Gurgaon, Gurgaon, Haryana",2,North-West,1 to 5 Year Old,"['Dwarka Sector 21 Metro Station', 'Pacific D21 Mall', 'Dwarka Expressway', 'Euro International School', 'The NorthCap University', 'Aryan Hospital', 'Indira Gandhi Intl Airport', 'Gurgaon Railway Station']","Very beautiful location and sobha international city it is duplex villa 4bedroom supper luxury property
 Additional details :The kitchen has been built with modular fittings.
 The house has muncipal supply supply.
There is also a separate washroom for domestic help.
You can easily park your car inside the compound
Having a provision to park 2 cars.",,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']","['Environment5 out of 5', 'Lifestyle4 out of 5', 'Connectivity3.5 out of 5', 'Safety4.5 out of 5']"
7 Bedroom House for sale in Sector 109 Gurgaon,house,international city by sobha phase 2,9.5,26389.0,3600.0,Plot area 400(334.45 sq.m.),7,6,3,"pooja room,study room,servant room","332, Sector 109 Gurgaon, Gurgaon, Haryana",3,West,1 to 5 Year Old,"['Dwarka Sector 21 Metro Station', 'Pacific D21 Mall', 'Dwarka Expressway', 'Euro International School', 'The NorthCap University', 'Aryan Hospital', 'Indira Gandhi Intl Airport', 'Gurgaon Railway Station']","Peaceful, private, premium, gated, duplex villa with 3 lawns (Front, middle & rear), impeccable construction by sobha ltd (Listed, premium developer), on delhi haryana border - 10 min from dwarka / metro, 15 min from igia / aerocity, 20 min from cybercity, 25 min from south delhi
 Additional details :The kitchen has been built with modular fittings.
 The house has muncipal supply supply.
There is also a separate washroom for domestic help.
You can easily park your car inside the compound
Having a provision to park 2 cars.
There is also a lift inside the house to make the living more convenient specially for old age people",,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","['Environment5 out of 5', 'Lifestyle4 out of 5', 'Connectivity3.5 out of 5', 'Safety4.5 out of 5']"
